Z Man says GFY!,Member,1294,520,40%,0%,0,0
bananahammock,Leader,1273,720,100%,30%,0,0
Demonic,Elder,1227,800,100%,30%,0,0
MrMuscelz,Elder,965,640,90%,40%,0,0
brokebackunited,Co-leader,902,640,100%,70%,0,0
geezee,Member,830,240,40%,75%,0,0
Hizzie,Elder,775,680,100%,60%,0,0
smokey,Member,750,720,80%,37.50%,0,0
JustAdam,Co-leader,742,680,100%,25%,0,0
D3F33T,Member,710,760,100%,60%,0,0
Mental Disorder,Member,690,560,100%,36.36%,0,0
killer,Co-leader,642,650,100%,72.73%,0,0
seth,Elder,622,600,90%,77.78%,0,2
Byoungers,Member,598,600,80%,75%,0,0
fathead,Co-leader,588,632,70%,50%,0,0
mcp64,Member,573,440,70%,57.14%,0,0
Nathan,Member,565,672,20%,50%,0,0
mobius,Member,546,480,90%,77.78%,0,3
kindabigdeals,Co-leader,528,640,90%,55.56%,0,2
EVO_BOY,Elder,493,40,100%,90%,0,0
Ray,Elder,442,680,100%,90.91%,0,0
Zebulun207,Member,432,560,80%,22.22%,0,1
Royalty86,Member,426,200,100%,10%,0,0
ArmadilloJackal,Elder,420,510,60%,66.67%,0,0
MADCAT,Member,414,400,100%,80%,0,0
Jeremy,Member,406,320,80%,55.56%,0,0
BunZZZ69,Member,372,590,100%,46.15%,0,0
Twonewf,Elder,363,200,100%,33.33%,0,0
Timbee,Co-leader,348,600,10%,0%,0,0
Lee,Elder,341,560,80%,62.50%,0,1
MrLoki,Member,340,400,100%,60%,0,0
MuffinMunchin,Member,320,440,0%,0%,0,0
LightningGhoul,Elder,314,400,90%,40%,0,0
Belthos,Elder,304,560,90%,60%,0,0
MoeDog32,Member,288,400,90%,22.22%,0,0
ifeanychuckwu,Member,287,480,90%,50%,0,0
lyd,Member,254,520,80%,70%,0,1
~V1LL@~,Member,216,440,80%,57.14%,1,9
Aguante,Member,208,280,30%,0%,0,4
TheGreatCherade,Co-leader,202,440,70%,0%,1,2
Fatboy,Member,114,280,90%,33.33%,0,0
Attila1683,Member,110,360,20%,0%,0,0
Nimo,Member,106,240,80%,50%,0,0
Djm123,Member,91,120,10%,0%,1,2
Work Evader,Member,90,150,80%,25%,0,2
gogeta,Member,79,80,0%,0%,0,0
Huntrr,Elder,76,280,0%,0%,0,0
CAPKANGAROO,Member,30,40,0%,0%,0,0
Ed,Member,28,40,0%,0%,0,0
whodini,Member,0,40,0%,0%,0,0
